"index","type","start","end","text"
"215","cue","00:12:24,000","00:12:28,800","<i>Darkness is no obstacle</i>
<i>to Callum's almighty ""bonar.""</i>"
"216","cue","00:12:31,840","00:12:32,680","Hello."
"217","cue","00:12:33,600","00:12:34,680","Fuck."
"218","cue","00:12:34,760","00:12:36,160","[chuckles] Oh, my God."
"219","cue","00:12:36,760","00:12:37,880","Good morning."
"220","cue","00:12:38,640","00:12:39,640","Who are you?"
"221","cue","00:12:39,720","00:12:41,040","[Madeline] Have a guess."
"222","cue","00:12:41,640","00:12:43,800","-I don't know, but you're banging.
-[Madeline] I'm Madeline."
"223","cue","00:12:43,880","00:12:45,640","Ah! Hello. [kisses]"
"224","cue","00:12:45,720","00:12:46,880","-How are you?
-[Callum] Good, good."
"225","cue","00:12:46,960","00:12:48,120","-What's your name?
-Callum."
"226","cue","00:12:48,200","00:12:49,160","-Oh, my God, lovely to meet you.
-Nice to meet you."
"227","cue","00:12:49,240","00:12:50,640","-How's the accent?
-Ah."
"228","cue","00:12:50,720","00:12:52,000","-This is wild.
-This is a shock."
"229","cue","00:12:52,080","00:12:53,400","Fuck, this is a surprise."
"230","cue","00:12:53,480","00:12:54,560","-Really?
-Yeah."
"231","cue","00:12:54,640","00:12:57,760","-Morning. Nice little wake-up call.
-[Callum groans, chuckling]"
"232","cue","00:12:57,840","00:13:01,200","She is banging. Like, ten out of ten."
"233","cue","00:13:01,280","00:13:03,160","[Madeline] Where are we going? Down here?"
"234","cue","00:13:03,240","00:13:04,520","-[Callum] All right.
-[Madeline] Bomb!"
"235","cue","00:13:04,600","00:13:07,800","Her rig is mental. Like, it is mental."
"236","cue","00:13:07,880","00:13:11,320","She looks like she needs to be sculpted.
She's too banging to be real life."
"237","cue","00:13:11,400","00:13:12,840","-Real or fake?
-It's real."
"238","cue","00:13:12,920","00:13:14,480","-Is it?
-It's the Spanish sun, boy."
"239","cue","00:13:14,560","00:13:17,400","Like, there's bombs and bombshells,
but she's a nuke."
"240","cue","00:13:22,840","00:13:25,360","[narrator]
<i>Callum's woken up to find himself</i>"
"241","cue","00:13:25,440","00:13:27,880","<i>face-to-face with a strange new bombshell</i>"
"242","cue","00:13:27,960","00:13:29,680","<i>whose name he doesn't know.</i>"
"243","cue","00:13:29,760","00:13:31,000","<i>Pretty standard for Callum,</i>"
"244","cue","00:13:31,080","00:13:35,360","<i>but this time, it's because</i>
<i>he never learned it in the first place.</i>"
"245","cue","00:13:35,440","00:13:36,840","[whispers] <i>It's Maddy.</i>"
"246","cue","00:13:36,920","00:13:38,840","-So, what brings you in the villa?
-It's crazy."
"247","cue","00:13:38,920","00:13:41,360","-I'm here to find love, a nice man.
-What brings you in the villa? Are you?"
"248","cue","00:13:41,440","00:13:43,600","-You're very lovely to look at. [chuckles]
-[chuckling]"
"249","cue","00:13:43,680","00:13:47,200","He is sexy as. I was not disappointed."
"250","cue","00:13:47,280","00:13:49,120","He was tan, he had the smile,"
"251","cue","00:13:49,200","00:13:52,120","and I knew straightaway--
he had this energy-- we were gonna vibe."
"252","cue","00:13:52,200","00:13:54,000","-You're quite bubbly.
-I'm pretty bubbly, yeah,"
"253","cue","00:13:54,080","00:13:56,640","-I'm usually the first up and stuff.
-That's key for me. I--"
"254","cue","00:13:56,720","00:13:58,920","I feel like I need to be able to vibe
with a person."
"255","cue","00:13:59,000","00:14:01,560","-I'm like a kid at Christmas.
-You're not getting giddier, are you?"
"256","cue","00:14:01,640","00:14:02,560","[both chuckling]"
"257","cue","00:14:02,640","00:14:06,880","She is hot, blonde, blue eyes,
proper flirt."
"258","cue","00:14:06,960","00:14:08,680","-Ah, stop it, I'm blushing.
-What did I say?"
"259","cue","00:14:08,760","00:14:10,800","She is literally a female version of me."
"260","cue","00:14:10,880","00:14:12,800","I think she might even be hotter than me."
"261","cue","00:14:12,880","00:14:14,960","Do I look all right, or like
I've been dragged through a bush?"
"262","cue","00:14:15,040","00:14:16,480","You look good. You look good."
"263","cue","00:14:16,560","00:14:19,000","-Yeah. Solid nine, I'd say.
-A nine?"
"264","cue","00:14:19,080","00:14:22,040","-Oh, stop it. It's too easy. [chuckles]
-[Madeline chuckles]"
"265","cue","00:14:22,120","00:14:23,160","I'm happy, though. I'm happy."
"266","cue","00:14:23,240","00:14:24,240","-You're happy?
-Yeah."
"267","cue","00:14:24,320","00:14:27,320","-Even when I just rolled out of bed?
-I don't wanna make your head too big,"
"268","cue","00:14:27,400","00:14:28,680","but I'm a little pleased."
"269","cue","00:14:28,760","00:14:30,680","She complimented me willy-nilly."
"270","cue","00:14:31,800","00:14:33,840","I was like,
""Slow down, babe. It's getting silly."""
"271","cue","00:14:33,920","00:14:36,040","-Wait here, I need Al.
-Okay."
"272","cue","00:14:36,120","00:14:37,400","Al? Who's that?"
"273","cue","00:14:37,920","00:14:39,800","[chuckling, inhales sharply]"
